 Class 0, Class 1,Random State,Normalization method,Feature selection method,Maximum number of features,Number of trees in the forest,Specify the classifier,Number of estimators,Learning rate,Specify CV method,CV Splits,CV Repeats,Date,ROC AUC Mean,ROC AUC Std,PR AUC Mean,PR AUC Std,Precision Mean,Precision Std,Recall Mean,Recall Std,F1 Score Mean,F1 Score Std,Accuracy Mean,Accuracy Std,Balanced Accuracy Mean,Balanced Accuracy Std,Class Ratio, values to keep,Missing value imputation,Function for measure the quality,Number of max. features
['non-AD'],['AD'],23,StandardScaler,ExtraTrees,20,100,RandomForest,100,,RepeatedStratifiedKFold,5,10,28/10/2020 08:57:42 (UTC),0.9422772486772486,0.04610100815339256,0.9533123101604715,0.044532165722713145,0.8918442113442113,0.06852654318322732,0.909904761904762,0.07621379623678788,0.8976774052606643,0.050408173922797936,0.8771666666666667,0.060035184317274067,0.8693968253968254,0.06352002947429367,0.5950413223140495,"['Berlin', 'Sweden', 'Magdeburg']",IterativeImputer,gini,auto
['non-AD'],['AD'],23,StandardScaler,ExtraTrees,20,100,RandomForest,20,,RepeatedStratifiedKFold,5,10,28/10/2020 08:58:51 (UTC),0.9441931216931216,0.046349491166360814,0.9543371133346719,0.04708157363325776,0.8995450872656755,0.06675422684064342,0.9157142857142858,0.08633427646802537,0.9039579156681492,0.05511329151248005,0.8853666666666667,0.06274005147397407,0.8785238095238096,0.06474536627370182,0.5950413223140495,"['Berlin', 'Sweden', 'Magdeburg']",IterativeImputer,entropy,log2
['non-AD'],['AD'],23,StandardScaler,ExtraTrees,20,100,RandomForest,200,,RepeatedStratifiedKFold,5,10,28/10/2020 09:02:10 (UTC),0.937504761904762,0.04822386409230914,0.9427813829711152,0.05806692722688921,0.8728578299925048,0.0782707044450622,0.9182857142857145,0.08111148829959647,0.8907916510088334,0.05296064366736465,0.8662000000000001,0.06411532975977025,0.8542539682539683,0.07081200254289961,0.5950413223140495,"['Berlin', 'Sweden', 'Magdeburg']",IterativeImputer,entropy,20
['non-AD'],['AD'],23,StandardScaler,ExtraTrees,20,100,RandomForest,2000,,RepeatedStratifiedKFold,5,10,28/10/2020 09:12:47 (UTC),0.9400507936507937,0.049422030930579425,0.9423996613611243,0.060469648212737155,0.8909365944513005,0.06569850681852125,0.9210476190476191,0.06802102012647097,0.9026731195410282,0.04233718066267036,0.8819333333333332,0.05158635408165266,0.8728571428571428,0.056775671228936446,0.5950413223140495,"['Berlin', 'Sweden', 'Magdeburg']",IterativeImputer,entropy,log2
